Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
5 Broken Cameras,2011,Not Rated,N/A,94 min,"Documentary, War","Emad Burnat, Guy Davidi",Guy Davidi,"Emad Burnat, Soraya Burnat, Mohammed Burnat","When his fourth son, Gibreel, is born, Emad, a Palestinian villager, gets his first camera. In his village, Bil'in, a separation barrier is being built and the villagers start to resist this decision. For more than five years, Emad films the struggle, which is led by two of his best friends, alongside filming how Gibreel grows. Very soon it affects his family and his own life. Daily arrests and night raids scare his family; his friends, brothers and himself are either shot or arrested. One camera after another is shot at or smashed. Each of the 5 cameras tells part of his story.","Hebrew, Arabic","Occupied Palestinian Territory, Israel, France, Netherlands",Nominated for 1 Oscar. 18 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ1OTgzNjM1OV5BMl5BanBnXkFtZTcwMzE3Mjk4OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.9,"6,450",tt2125423,movie,23 Mar 2017,"$109,983",N/A,N/A,True,
A Beautiful Day in the Neighborhood,2019,PG,22 Nov 2019,109 min,"Biography, Drama",Marielle Heller,"Micah Fitzerman-Blue, Noah Harpster, Tom Junod","Matthew Rhys, Tom Hanks, Chris Cooper","Two-time Oscar®-winner Tom Hanks portrays Mister Rogers in A Beautiful Day in the Neighborhood, a timely story of kindness triumphing over cynicism, based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod. After a jaded magazine writer (Emmy winner Matthew Rhys) is assigned a profile of Fred Rogers, he overcomes his skepticism, learning about empathy, kindness, and decency from America's most beloved neighbor.",English,"United States, China",Nominated for 1 Oscar. 10 wins & 64 nominations total,https://m.media-amazon.com/images/M/MV5BZWE3ZDYwNmItOWM5ZS00Y2Q4LTlhNmYtODlhY2QxYzA1MDlhXkEyXkFqcGdeQXVyNjA5MDIyMzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,7.2,"88,138",tt3224458,movie,03 Dec 2017,"$61,704,055",N/A,N/A,True,
A Cat in Paris,2010,PG,15 Dec 2010,70 min,"Animation, Adventure, Comedy","Jean-Loup Felicioli, Alain Gagnol","Alain Gagnol, Jacques-Rémy Girerd","Dominique Blanc, Bernadette Lafont, Bruno Salomone","Dino is a cat that leads a double life. By day, he lives with Zoe, a little girl whose mother, Jeanne, is a police officer. By night, he works with Nico, a burglar with a big heart. Zoe has plunged herself into silence following her father's murder at the hands of gangster Costa. One day, Dino the cat brings Zoe a very valuable bracelet. Lucas, Jeanne's second-in-command, notices this bracelet is part of a jewelery collection that has been stolen. One night, Zoe decides to follow Dino. On the way, she overhears some gangsters and discovers that her nanny is part of the gangsters' team.","French, English","France, Belgium",Nominated for 1 Oscar. 1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BN2U4NjMxNGUtNTA4Yi00ZTZhLWI1NGEtN2IxM2Y2ZjUyNzVkXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.9,"11,865",tt1673702,movie,10 Aug 2016,"$309,973",N/A,N/A,True,
A Concerto Is a Conversation,2020,N/A,24 Nov 2020,13 min,"Documentary, Short, Drama","Kris Bowers, Ben Proudfoot",Ben Proudfoot,"Kris Bowers, Horace Bowers Sr., Jim Burke",A virtuoso jazz pianist and film composer tracks his family's lineage through his 91-year-old grandfather from Jim Crow Florida to the Walt Disney Concert Hall.,English,United States,Nominated for 1 Oscar. 3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZDVjMjc3YzQtYmQ5MC00OTg0LWE3NTAtOTM5OGM4YTY5Mzc5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"1,394",tt13793326,movie,N/A,N/A,N/A,N/A,True,
A Fantastic Woman,2017,R,02 Feb 2018,104 min,Drama,Sebastián Lelio,"Sebastián Lelio, Gonzalo Maza, Eliseo Altunaga","Daniela Vega, Francisco Reyes, Luis Gnecco","Somewhere in Santiago at a dimly-lit nightclub, Orlando, the kindly and well-off owner of a textile company, locks eyes with Marina, a hopeful singer and the roughly half-his-age love of his life. But, unfortunately, after Marina's birthday celebration and a night of passion, Orlando falls gravely ill--and by the following morning--he dies in hospital. In the wake of her companion's untimely death, Marina will soon realise that, from now on, everything is brought into question: her involvement in Orlando's death, their unconventional relationship; and above all, her right to mourn her beloved deceased. In the end, what was Marina's crime; a deed so hideous that would rob a fantastic woman of her respect, her dignity, and ultimately, her identity?","Spanish, Chinese","Chile, Spain, Germany",Won 1 Oscar. 32 wins & 43 nominations total,https://m.media-amazon.com/images/M/MV5BNGJhNWM4ZjItYWRhYS00N2UzLTg3OWItOGEzOWFmMGQ1ZjlkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.2,"27,224",tt5639354,movie,23 May 2018,"$2,020,988",N/A,N/A,True,
A Girl in the River: The Price of Forgiveness,2015,Not Rated,28 Oct 2015,40 min,"Documentary, Short",Sharmeen Obaid-Chinoy,François-Xavier Durandy,"Asad Jamal, Saba","The extraordinary story of a young Pakistani woman who lived to tell of her narrow escape from an attempted ""honor"" killing by her father and uncle. Told through the lens of a true love story, the film tells the story of Saba who was shot and left for dead after marrying a man once promised to her. The result is a scathing examination of the contradictions between modernism and tradition within Pakistani society.",Punjabi,"United States, Pakistan",Won 1 Oscar. 3 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BNWIyODQ4YjYtNDljOS00MTQyLTk1ZjUtYzQ5MDc2YjFmNzg2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"1,787",tt5144072,movie,30 Nov 2016,N/A,N/A,N/A,True,
A House Made of Splinters,2022,N/A,21 Feb 2023,87 min,Documentary,Simon Lereng Wilmont,N/A,"Marharyta Burlutska, Anjelika Stolyarova, Olga Tronova",Children and staff in a special kind of home: an institution for children who have been removed from their homes while awaiting court custody decisions. Staff do their best to make the time children have there safe and supportive.,"Russian, Ukrainian","Denmark, Ukraine, Sweden, Germany, Finland",Nominated for 1 Oscar. 10 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMzI3NDNlN2EtMjEzYS00YzE3LTllMzAtYTQ1N2YxNDUzN2U1XkEyXkFqcGdeQXVyMzQwNjk5MjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.2,"2,061",tt16377920,movie,21 Feb 2023,N/A,N/A,N/A,True,
A Love Song for Latasha,2019,TV-PG,21 Sep 2020,19 min,"Documentary, Short, Biography",Sophia Nahli Allison,N/A,"Tybie O'Bard, Shinese Harlins, Zoe Flint",A Love Song For Latasha is a dreamlike hybrid documentary in conversation with the past and the present to reimagine a more nuanced narrative of Latasha Harlins than standard archival practises have captured by excavating intimate and poetic memories shared by her cousin and best friend.,English,United States,Nominated for 1 Oscar. 6 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BYzBlOGE3Y2QtMDMyZS00NTg2LTk1MzUtMmFhMTFmODBlNDc0XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.8,"2,606",tt8993180,movie,24 Sep 2020,N/A,N/A,N/A,True,
A Man Called Ove,2015,PG-13,30 Sep 2016,116 min,"Comedy, Drama, Romance",Hannes Holm,"Hannes Holm, Fredrik Backman","Rolf Lassgård, Bahar Pars, Filip Berg","59 year old Ove is the block's grumpy man who several years earlier was deposed as president of the condominium association, but he could not give a damn about being deposed and therefore keeps looking over the neighborhood with an iron fist. When pregnant Parvaneh and her family moves into the terraced house opposite and accidentally backs into Ove's mailbox it turns out to be an unexpected friendship. A drama comedy about unexpected friendship, love and the importance of surrounding yourself with the proper tools.","Swedish, Persian, Spanish",Sweden,Nominated for 2 Oscars. 15 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BMjE0NDUyOTc2MV5BMl5BanBnXkFtZTgwODk2NzU3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,7.7,"68,019",tt4080728,movie,13 Dec 2016,"$3,479,315",N/A,N/A,True,
How They Donut: A Matter of Loaf and Death,2009,N/A,02 Nov 2009,20 min,"Documentary, Short",Toby James,N/A,N/A,Wallace and Gromit run a bakery. Recently twelve bakers have been murdered. Will they be next or can they catch the killer?,English,UK,N/A,https://m.media-amazon.com/images/M/MV5BZjRhN2VkMjUtZmIxOS00NTRkLTk1ZjktNTQzYjM5MmEyZGI1XkEyXkFqcGdeQXVyNjQwMjYzNjY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,13,tt11303566,movie,N/A,N/A,N/A,N/A,True,
A Morning Stroll,2011,Not Rated,10 Feb 2012,7 min,"Animation, Short, Action",Grant Orchard,"Casper G. Clausen, Grant Orchard",N/A,"Set against the background of New York's bustling streets, this is the story of a true urban dweller: a hefty and fluffy white chicken. Spanning a century in 50-year intervals, starting off in 1959, this is a documentation of diverse time periods as well as the human evolution, pivoting around the same street corner of a single city block.",English,United Kingdom,Nominated for 1 Oscar. 6 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNjU1ODE3Mjk5MV5BMl5BanBnXkFtZTgwMzc0NzAxMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,805,tt1964446,movie,N/A,N/A,N/A,N/A,True,
A Night at the Garden,2017,TV-PG,N/A,7 min,"Documentary, Short, History",Marshall Curry,N/A,Fritz Kuhn,"Assembled from archive footage, this short documentary details a 'German-American Bund' rally held at the Madison Square Garden on February 20, 1939. American Nazi leader Fritz Kuhn speaks to the gathered crowd when one man, 26-year-old Isadore Greenbaum, rushes the stage to protest the gathered National Socialist Party.",English,United States,Nominated for 1 Oscar. 1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMThmZjZmZjctZmY3OS00MmY5LWI2ODYtNTAwMDg5YTk4MGNkXkEyXkFqcGdeQXVyOTgwNzIyOTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"1,582",tt7535612,movie,N/A,N/A,N/A,N/A,True,
A Prophet,2009,R,26 Mar 2010,155 min,"Crime, Drama",Jacques Audiard,"Thomas Bidegain, Jacques Audiard, Abdel Raouf Dafri","Tahar Rahim, Niels Arestrup, Adel Bencherif","Nineteen year-old Franco-Algerian Malik El Djebena is just starting his six year prison sentence in Brécourt. Although he has spent the better part of his life in juvenile detention, this stint is his first in an adult prison. Beyond the division of Corsicans and Muslims in the prison (the Corsicans who with their guard connections rule what happens in the prison), he has no known friends or enemies inside. He is just hoping to serve his time in peace and without incident, despite having no prospects once he's out of jail since he's illiterate and has no support outside of the prison. Due to logistics, the head of Corsican inmates, a sadistic mafioso named César Luciani, co-opts Malik as part of the Corsicans' activities, not only regarding what happens inside the prison, but also continued criminal activities outside. The innocent Malik has no idea what to do but cooperate. This move does not sit well with the other Corsicans, who only see Malik as a dirty Algerian, and the Muslims who now mistrust him. But as time goes on, Malik works to save himself while in prison, while setting up his life post prison on his own terms. Both his demon and his salvation in prison is the specter of one of the first people he really got to know during his incarceration.","French, Arabic, Corsican","France, Italy",Nominated for 1 Oscar. 52 wins & 55 nominations total,https://m.media-amazon.com/images/M/MV5BMTUyMjQ1MTY5OV5BMl5BanBnXkFtZTcwNzY5NjExMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,7.8,"101,976",tt1235166,movie,16 Apr 2012,"$2,087,720",N/A,N/A,True,
A Quiet Place,2018,PG-13,06 Apr 2018,90 min,"Drama, Horror, Sci-Fi",John Krasinski,"Bryan Woods, Scott Beck, John Krasinski","Emily Blunt, John Krasinski, Millicent Simmonds","In a devastated Earth overrun by invincible predators of a possible extraterrestrial origin, the Abbotts find themselves struggling to survive in the isolation of upstate New York, defined by a new era of utter silence. Indeed, as this new type of invader is attracted to noise, even the slightest of sounds can be deadly; however, it's been already twelve months since the powerful monsters' first sightings, and this resilient family still stands strong. Of course, learning the rules of survival in this muted dystopia is essential; nevertheless, now, of all times, an otherwise joyous event puts in jeopardy the already fragile stability. And now, more than ever, the Abbotts must not make a sound.","American Sign , English",United States,Nominated for 1 Oscar. 37 wins & 128 nominations total,https://m.media-amazon.com/images/M/MV5BMjI0MDMzNTQ0M15BMl5BanBnXkFtZTgwMTM5NzM3NDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.5,"581,699",tt6644200,movie,26 Jun 2018,"$188,024,361",N/A,N/A,True,
A Royal Affair,2012,R,29 Mar 2012,137 min,"Biography, Drama, History",Nikolaj Arcel,"Bodil Steensen-Leth, Rasmus Heisterberg, Nikolaj Arcel","Alicia Vikander, Mads Mikkelsen, Mikkel Boe Følsgaard","In 1767, the British Princess Caroline is betrothed to the mad King Christian VII of Denmark, but her life with the erratic monarch in the oppressive country becomes an isolating misery. However, Christian soon gains a fast companion with the German Dr. Johann Struensee, a quietly idealistic man of the Enlightenment. As the only one who can influence the King, Struensee is able to begin sweeping enlightened reforms of Denmark through Christian even as Caroline falls for the doctor. However, their secret affair proves a tragic mistake that their conservative enemies use to their advantage in a conflict that threatens to claim more than just the lovers as their victims.","Danish, English, German, French","Denmark, Sweden, Czech Republic, Germany",Nominated for 1 Oscar. 21 wins & 42 nominations total,https://m.media-amazon.com/images/M/MV5BMTg3MDE4MTQ4NF5BMl5BanBnXkFtZTcwNDgwNDYyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,7.5,"50,335",tt1276419,movie,02 Mar 2017,"$1,546,761",N/A,N/A,True,
A Separation,2011,PG-13,16 Mar 2011,123 min,Drama,Asghar Farhadi,Asghar Farhadi,"Payman Maadi, Leila Hatami, Sareh Bayat","Nader (Payman Maadi) and Simin (Leila Hatami) argue about living abroad. Simin prefers to live abroad to provide better opportunities for their only daughter, Termeh. However, Nader refuses to go because he thinks he must stay in Iran and take care of his father (Ali-Asghar Shahbazi), who suffers from Alzheimers. However, Simin is determined to get a divorce and leave the country with her daughter.",Persian,"Iran, France, Australia",Won 1 Oscar. 88 wins & 52 nominations total,https://m.media-amazon.com/images/M/MV5BN2JmMjViMjMtZTM5Mi00ZGZkLTk5YzctZDg5MjFjZDE4NjNkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",95,8.3,"257,533",tt1832382,movie,12 Feb 2014,"$7,099,055",N/A,N/A,True,
A Serious Man,2009,R,06 Nov 2009,106 min,"Comedy, Drama","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Michael Stuhlbarg, Richard Kind, Sari Lennick","Bloomington, Minnesota, 1967: Jewish physics lecturer Larry Gopnik is a serious and a very put-upon man. His daughter is stealing from him to save up for a nose job, his pot-head son, who gets stoned at his own bar-mitzvah, only wants him round to fix the TV aerial and his useless brother Arthur is an unwelcome house guest. But both Arthur and Larry get turfed out into a motel when Larry's wife Judy, who wants a divorce, moves her lover, Sy, into the house and even after Sy's death in a car crash they are still there. With lawyers' bills mounting for his divorce, Arthur's criminal court appearances and a land feud with a neighbour Larry is tempted to take the bribe offered by a student to give him an illegal exam pass mark. And the rabbis he visits for advice only dole out platitudes. Still God moves in mysterious - and not always pleasant - ways, as Larry and his family will find out.","English, Yiddish, Hebrew","United Kingdom, France, United States",Nominated for 2 Oscars. 17 wins & 80 nominations total,https://m.media-amazon.com/images/M/MV5BNGZkODlhMjktNzhhMC00YjFiLWJmODMtNjQwOGMzZjMxNTZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,7.0,"149,376",tt1019452,movie,18 Mar 2014,"$9,228,768",N/A,N/A,True,
